Store Number,City,Zip Code,County,2015 Total Bottles Sold,2015 Average Margin Ratio,2015 Average Sale (Dollars),2015 Total Sales (Dollars),2015 Total Transactions,2015 Average Volume per Sale (Liters),2015 Total Volume Sold (Liters),2015 DaysOpen,2015 Average Price per Bottle (Dollars),2015 Average Price per Liter (Dollars),2015 Average Margin,2015 Average Sales per Day,Q1_15 Total Bottles Sold,Q1_15 Average Margin Ratio,Q1_15 Average Sale (Dollars),Q1_15 Total Sales (Dollars),Q1_15 Total Transactions,Q1_15 Average Volume per Sale (Liters),Q1_15 Total Volume Sold (Liters),Q1_15 DaysOpen,Q1_15 Average Price per Bottle (Dollars),Q1_15 Average Price per Liter (Dollars),Q1_15 Average Margin,Q1_15 Average Sales per Day,Q1_16 Total Bottles Sold,Q1_16 Average Margin Ratio,Q1_16 Average Sale (Dollars),Q1_16 Total Sales (Dollars),Q1_16 Total Transactions,Q1_16 Average Volume per Sale (Liters),Q1_16 Total Volume Sold (Liters),Q1_16 DaysOpen,Q1_16 Average Price per Bottle (Dollars),Q1_16 Average Price per Liter (Dollars),Q1_16 Average Margin,Q1_16 Average Sales per Day
2513,IOWA CITY,52240,Johnson,50774,0.334582958039,93.5754105445,649600.5,6942,6.65773264189,46217.98,52,13.861525497,17.0105726858,31.2923926822,1779.72739726,11808,0.334472488888,107.616621253,157981.2,1468,7.41487057221,10885.03,12,13.5185422343,16.6457056672,35.9609128065,1736.05714286,11733,0.333990649686,90.3445778046,149791.31,1658,6.3450482509,10520.09,13,13.95053076,17.0685781688,30.1672316043,1646.05835165
2514,MARION,50129,Linn,19235,0.334631297916,105.478375812,211062.23,2001,10.6321289355,21274.89,49,11.3670164918,13.7771414922,35.27017991,578.252684932,4833,0.334888393259,87.6129674099,51078.36,583,9.62581475129,5611.85,12,10.6191595197,13.5988822137,29.3095025729,561.300659341,5303,0.333785911551,154.287468672,61560.7,399,16.0593483709,6407.68,12,11.6304511278,14.2552191252,51.8421303258,676.491208791
2515,MASON CITY,50401,Cerro Gordo,83043,0.334268006779,95.4268445564,1249900.81,13098,6.92770422965,90739.07,52,15.7917689724,18.3657683903,31.9091555963,3424.38578082,18254,0.33429040266,94.5574687933,272703.74,2884,6.97325242718,20110.86,12,15.6402461859,18.2740980203,31.5944140083,2996.7443956,17665,0.333827331255,85.0330433366,260966.41,3069,6.28146301727,19277.81,13,15.883655914,18.3301512436,28.3786803519,2867.76274725
2517,NEWTON,50208,Jasper,56022,0.334583905594,87.1374519231,761232.78,8736,6.61817422161,57816.37,52,14.4270089286,17.3445413216,29.1482532051,2085.56926027,13713,0.334456118091,82.8039074668,180760.93,2183,6.42358680715,14022.69,13,14.1796518552,17.2098549408,27.6819102153,1986.38384615,12011,0.334031715597,86.2173587951,160278.07,1859,6.59910166756,12267.73,13,14.1121785906,16.8301990245,28.81,1761.29747253
2518,RED OAK,51566,Montgomery,24278,0.33387163196,97.526975,351097.11,3600,7.12444444444,25648.0,52,15.2108555556,18.8296206451,32.6235916667,961.909890411,5182,0.334134614371,95.6101456954,72185.66,755,7.5301589404,5685.27,13,15.2393245033,19.3833724307,31.9397218543,793.249010989,5775,0.333588463613,103.318201058,78108.56,756,7.59445767196,5741.41,13,14.7519708995,17.6762171744,34.455952381,858.335824176
2521,WEST DES MOINES,50265,Polk,80284,0.33417784732,143.568611927,1124285.8,7831,9.84966032435,77132.69,64,15.6993372494,19.7384356702,47.9893704508,3080.23506849,19000,0.334207793405,137.277725613,263161.4,1917,9.42866979656,18074.76,15,15.7510119979,19.4570761157,45.879504434,2891.88351648,18495,0.333882148835,127.967177419,253886.88,1984,8.46476310484,16794.09,13,15.75859375,20.1048861368,42.6991582661,2789.96571429
2522,SPIRIT LAKE,51360,Dickinson,73610,0.334295442101,166.091484458,1095373.34,6595,11.5058377559,75881.0,52,15.4168855193,18.1448053878,55.5221865049,3001.02284932,11716,0.334140449313,133.991560976,164809.62,1230,10.1406585366,12473.01,13,14.9953821138,17.5529662214,44.7505284553,1811.09472527,12861,0.333950298453,132.362694656,173395.13,1310,9.70158015267,12709.07,13,14.8479541985,18.0585495514,44.2829770992,1905.44098901
2523,CENTERVILLE,52544,Appanoose,30623,0.334386727845,95.4535962145,393364.27,4121,6.30981315215,26002.74,53,14.3088643533,17.8135442682,31.941637952,1077.71032877,5123,0.33436289543,69.9383256881,60986.22,872,5.34297018349,4659.07,12,13.4161697248,17.0859285091,23.5789793578,670.178241758,7010,0.333984318092,98.3080128894,91524.76,931,6.95456498389,6474.7,13,14.682094522,18.1024755565,32.8399355532,1005.76659341
2524,DUBUQUE,52001,Dubuque,69998,0.334437421662,147.472030086,990127.21,6714,10.1866219839,68392.98,53,15.8607938636,18.9489865764,49.3420628537,2712.67728767,14842,0.334402293844,142.358412162,210690.45,1480,9.91287837838,14671.06,14,15.8176486486,18.771901569,47.5535405405,2315.27967033,17834,0.333794005088,139.293063519,247802.36,1779,9.75177627881,17348.41,13,15.5578189994,18.5826233768,46.4800393479,2723.10285714
2527,DES MOINES,50315,Polk,51273,0.334635099237,127.833441585,625872.53,4896,10.1221793301,49558.19,57,14.0612928922,16.285718152,42.8693852124,1714.71926027,11594,0.334601025279,131.072884072,139068.33,1061,10.3804335533,11013.64,14,14.0724505184,16.4530196131,44.1442318567,1528.22340659,10682,0.333702763988,93.3698384491,115591.86,1238,7.78517770598,9638.05,14,13.7524313409,16.7480793715,31.1550646204,1270.24021978
2528,DES MOINES,50315,Polk,88916,0.33457611648,159.027036274,1003937.68,6313,10.8003469032,68182.59,101,14.290478378,18.1689330451,53.1849073341,2750.51419178,18034,0.334630720839,126.527607251,209403.19,1655,8.68312386707,14370.57,23,14.2744108761,17.4555217235,42.3235166163,2301.13395604,21966,0.333838477648,163.182062937,233350.35,1430,11.2883916084,16142.4,23,13.8698461538,18.3095799201,54.5606223776,2564.28956044
2529,CEDAR RAPIDS,52405,Linn,30921,0.334824321533,75.6846150628,361772.46,4780,7.26782845188,34740.22,52,12.236832636,14.7814636823,25.4050062762,991.157424658,6553,0.334930198196,77.1150205339,75110.03,974,7.55983572895,7363.28,13,11.9902669405,14.8049495472,25.93724846,825.384945055,7561,0.334111468192,68.1706982343,84940.69,1246,6.55711075441,8170.16,13,11.8374317817,15.0800768484,22.8758186196,933.414175824
2532,DES MOINES,50317,Polk,51227,0.33488265498,131.165225938,580537.29,4426,10.6737166742,47241.87,56,12.8615928604,14.6642978195,43.9390962494,1590.51312329,11038,0.335089459231,128.696837161,123291.57,958,10.9323903967,10473.23,14,12.4536430063,14.2023529989,43.2230584551,1354.85241758,10016,0.334106427634,114.95852329,115993.15,1009,9.04531219029,9126.72,13,13.2660951437,15.3211326632,38.3827948464,1274.65
2535,WEST DES MOINES,50265,Polk,47494,0.334659858226,133.067484577,668664.11,5025,9.15026865672,45980.1,62,15.5004338308,18.3473971403,44.5348318408,1831.95646575,11006,0.334895347756,150.516886342,157591.18,1047,10.61669532,11115.68,14,15.1414804202,18.3696682384,50.598548233,1731.77120879,9579,0.333890427734,113.41245471,125207.35,1104,8.56424818841,9454.93,14,15.1969384058,17.9860268461,37.8504891304,1375.90494505
2536,PLEASANT HILL,50317,Polk,53360,0.334418939011,118.262452738,725658.41,6136,8.12418187744,49849.98,68,16.8418595176,20.7472359071,39.530065189,1988.10523288,11860,0.334455384062,115.67839576,163684.93,1415,7.86843816254,11133.84,17,17.4341060071,21.633825845,38.6650812721,1798.73549451,12122,0.333691428003,114.478452803,161300.14,1409,7.99578424414,11266.06,15,16.4712633073,20.0762244919,38.1913697658,1772.52901099
2538,WATERLOO,50702,Black Hawk,48528,0.334454519973,94.1508449183,697563.61,7409,6.27579970306,46497.4,52,15.6646484006,20.2828181666,31.5106033203,1911.13317808,10344,0.334637497194,87.6197076372,146850.63,1676,5.7028221957,9557.93,13,16.1121002387,20.564023617,29.2944331742,1613.74318681,11742,0.333739727915,82.8011295181,164939.85,1992,5.81488955823,11583.26,13,14.5731927711,19.5408096017,27.6650150602,1812.52582418
2539,IOWA FALLS,50126,Hardin,42670,0.334599283217,149.757436078,638415.95,4263,10.6772953319,45517.31,52,16.4409852217,17.7816898596,50.1331972789,1749.08479452,9776,0.334841943872,143.662684631,143950.01,1002,10.558243513,10579.36,13,15.969251497,17.5321477346,48.1381636727,1581.86824176,9701,0.334019348384,139.936341232,147632.84,1055,10.1819336493,10741.94,13,17.1022274882,18.7497519985,46.8207677725,1622.3389011
2543,OTTUWMA,52501,Wapello,47238,0.334144611443,85.8502063365,644906.75,7512,5.88898828541,44238.08,52,13.9151051651,18.2600928444,28.7115801384,1766.86780822,9842,0.334277242152,86.2364281191,136167.32,1579,5.85823939202,9250.16,12,13.7998480051,17.8524540302,28.8174857505,1496.34417582,12302,0.333729816588,96.9542783209,168603.49,1739,6.63613571018,11540.24,14,13.7343703278,19.1016787554,32.4246233468,1852.7856044
2544,MARSHALLTOWN,50158,Marshall,88571,0.334589219295,156.568079936,1378895.08,8807,10.6401714545,93707.99,53,15.1049506075,17.7916008627,52.4235630748,3777.79473973,21387,0.334488744047,149.872798901,327172.32,2183,10.3176820889,22523.5,13,15.0971094824,17.695442434,50.1231241411,3595.30021978,21400,0.333916606828,152.410858159,342772.02,2249,10.2075144509,22956.7,13,15.3335437972,17.8169701101,50.9209604269,3766.72549451
2545,IOWA CITY,52245,Johnson,36151,0.33420286462,71.8088433668,515300.26,7176,4.75559643255,34126.16,52,15.4360841695,20.3189240088,24.0028010033,1411.78153425,7512,0.3342528087,71.1491532258,105869.94,1488,4.93233870968,7339.32,12,15.3976276882,20.3378599009,23.791155914,1163.40593407,7361,0.333638317312,64.3487484355,102829.3,1598,4.18647058824,6689.98,13,15.4944430538,20.7174937621,21.4615269086,1129.99230769
2548,ALTOONA,50009,Polk,77368,0.33461076034,141.236342407,1022127.41,7237,10.246884068,74156.7,58,14.2231753489,18.0601298364,47.3184344342,2800.34906849,13916,0.334577900033,119.179634888,176266.68,1479,8.77397565923,12976.71,12,13.9295875592,17.7138787022,40.0117782285,1936.99648352,17333,0.334030662595,138.284396166,216415.08,1565,10.5327539936,16483.76,14,13.8537763578,17.4493414727,46.2550990415,2378.18769231
2549,INDIANOLA,50125,Warren,53363,0.33439151668,147.068507232,762550.21,5185,10.29268081,53367.55,60,15.0665265188,17.2365626663,49.1944300868,2089.17865753,12245,0.334599659219,150.017037351,176720.07,1178,10.7770967742,12695.42,13,14.8183870968,17.0331625328,50.2838709677,1941.97879121,12361,0.333885485992,146.509504618,174492.82,1191,10.3585138539,12336.99,15,15.2795633921,16.9616549514,48.9030142737,1917.50351648
2550,OSCEOLA,50213,Clarke,14633,0.334366038147,59.5178105263,197896.72,3325,4.41819548872,14690.5,52,14.1296932331,15.9724959749,19.9170827068,542.182794521,3329,0.334127993239,53.7610311751,44836.7,834,3.96642685851,3308.0,12,14.2060191847,16.0291389745,17.9736570743,492.710989011,3109,0.333950588677,66.2593890675,41213.34,622,4.97548231511,3094.75,13,13.7871543408,15.0955734191,22.1213987138,452.893846154
2551,CHARITON,50049,Lucas,27259,0.334259075128,97.6929452978,362538.52,3711,7.10134734573,26353.1,52,15.1275613042,17.6782035367,32.71362436,993.256219178,5013,0.334183317543,87.4239707835,65830.25,753,6.31432934927,4754.69,12,15.399123506,17.4608968954,29.2099070385,723.409340659,7233,0.333951430442,108.073436019,91213.98,844,8.70018957346,7342.96,13,14.3123459716,16.8352962788,36.2568009479,1002.35142857
