Store Number,City,Zip Code,County,Q1_16 Total Bottles Sold,Q1_16 Average Margin Ratio,Q1_16 Average Sale (Dollars),Q1_16 Total Sales (Dollars),Q1_16 Total Transactions,Q1_16 Average Volume per Sale (Liters),Q1_16 Total Volume Sold (Liters),Q1_16 DaysOpen,Q1_16 Average Price per Bottle (Dollars),Q1_16 Average Price per Liter (Dollars),Q1_16 Average Margin,Q1_16 Average Sales per Day
2655,CLARINDA,51632,Page,1941,0.333735432688,100.758286853,25290.33,251,8.24199203187,2068.74,13,14.0493227092,14.3925322519,33.6408366534,277.915714286
2656,CORNING,51632,Clayton,1488,0.333884062884,58.7173109244,20962.08,357,4.15784313725,1484.35,13,15.6079551821,16.958142935,19.6382352941,230.352527473
2657,BEDFORD,50833,Taylor,1221,0.333870836602,39.9668407311,15307.3,383,3.20221932115,1226.45,13,13.3239686684,16.4410680094,13.3438381201,168.212087912
2658,MOUNT AYR,50854,Ringgold,803,0.33524246225,107.876494845,10464.02,97,9.07371134021,880.15,8,13.8460824742,13.5836008837,36.2415463918,114.989230769
2660,SIOUX CENTER,51250,Sioux,3231,0.333956700548,79.7655877863,52246.46,655,5.32519083969,3488.0,13,15.4380305344,16.971392948,26.6501374046,574.136923077
2661,SHELDON,51201,O'Brien,5727,0.333900584812,82.6765536105,75566.37,914,6.70257111597,6126.15,13,13.7037964989,16.3942918086,27.6234682713,830.39967033
2662,MUSCATINE,52761,Muscatine,8818,0.333985318924,86.2490424646,103585.1,1201,6.36748542881,7647.35,12,13.9963197336,17.832920436,28.785570358,1138.2978022
2663,URBANDALE,50322,Polk,18454,0.333856575219,163.74221564,276396.86,1688,10.3957109005,17547.96,13,16.9558412322,19.9655436448,54.6394075829,3037.32813187
2665,WAUKEE,50263,Dallas,21478,0.333944132647,153.385892678,305851.47,1994,8.86545636911,17677.72,26,16.7493681043,20.6068042194,51.1939819458,3361.00516484
2666,ANKENY,50023,Polk,17659,0.333835380706,104.181576,260453.94,2500,6.335492,15838.73,14,18.679064,23.1042097969,34.77544,2862.13120879
2667,SIOUX CITY,51104,Woodbury,2441,0.334241163886,61.9995112016,30441.76,491,4.97393075356,2442.2,13,14.2742566191,15.9636058578,20.7093482688,334.524835165
2668,LEON,50144,Decatur,707,0.334333839149,72.8593103448,10564.6,145,5.37413793103,779.25,6,15.5635172414,15.7514220033,24.3531034483,116.094505495
2669,CORYDON,50060,Wayne,1459,0.335334565924,76.2105905512,19357.49,254,6.15413385827,1563.15,10,15.2447244094,14.4844263217,25.5230708661,212.71967033
2670,CORALVILLE,52241,Johnson,39698,0.333803726251,193.750518004,613414.14,3166,11.6773373342,36970.45,26,16.0295988629,19.4081284158,64.6371604548,6740.81472527
2806,CLINTON,52732,Clinton,6374,0.33397662049,100.905730769,78706.47,780,8.26923076923,6450.0,13,13.1428205128,14.8757996425,33.6843974359,864.906263736
2835,CEDAR FALLS,50613,Black Hawk,1487,0.333893024061,98.5902608696,22675.76,230,8.00217391304,1840.5,9,16.8555217391,15.789378882,32.9356956522,249.184175824
2836,WATERLOO,50703,Black Hawk,346,0.333479447838,42.2846296296,4566.74,108,3.30314814815,356.74,6,16.2635185185,17.9280676808,14.1012962963,50.183956044
2837,WATERLOO,50702,Black Hawk,1116,0.334377532908,96.2338356164,14050.14,146,8.69184931507,1269.01,8,13.9619178082,14.3429124271,32.2634246575,154.397142857
2838,DAVENPORT,52806,Scott,820,0.333866752998,112.106603774,11883.3,106,9.48820754717,1005.75,8,18.0747169811,16.7177133872,37.4193396226,130.585714286
2839,DAVENPORT,52804,Scott,841,0.33360717839,124.700860215,11597.18,93,10.1048387097,939.75,6,15.6077419355,15.0867844342,41.5907526882,127.441538462
2840,BETTENDORF,52722,Scott,1899,0.333583784978,81.7907216495,23801.1,291,8.44587628866,2457.75,13,16.5175601375,17.8898903616,27.2887628866,261.550549451
2841,CEDAR RAPIDS,52403,Linn,1625,0.333912158631,110.796796117,22824.14,206,9.19106796117,1893.36,10,15.7042718447,15.7304403606,37.0368446602,250.814725275
2843,CEDAR RAPIDS,52402,Linn,1385,0.333714365676,46.9237623762,18957.2,404,4.03034653465,1628.26,13,15.9046534653,15.5264141325,15.6703217822,208.320879121
2844,IOWA CITY,52240,Johnson,1698,0.333844275449,107.205081081,19832.94,185,9.79594594595,1812.25,13,13.6320540541,13.6755546976,35.7875675676,217.944395604
2846,CEDAR RAPIDS,52404,Linn,1273,0.333680943163,67.6526086957,17116.11,253,5.26031620553,1330.86,11,15.742055336,16.6676273878,22.5780632411,188.089120879
2850,DES MOINES,50313,Polk,904,0.333449757002,77.2060645161,11966.94,155,6.04032258065,936.25,7,14.7952258065,15.9344946237,25.7448387097,131.504835165
